Plasmid,Concentration,Replicate,mCherry,GFP
pLac,0.001,2,-inf,2.5048781933125013
pLac,0.001,2,2.1697902174620296,2.173267412777029
pLac,0.001,2,1.7883742770612008,2.168655855938792
pLac,0.001,2,1.6915393346978531,2.273816883582616
pLac,0.001,2,1.5393057397150949,-inf
pLac,0.001,2,2.384841224538329,2.346911473873341
pLac,0.001,2,1.593924659604581,1.9112986488619208
pLac,0.001,2,1.7017287021405445,2.701202834945973
pLac,0.001,2,2.091427857039662,2.446778870990209
pLac,0.001,2,1.8946694910312232,2.1592913259466107
pLac,0.001,2,2.089332259929033,2.815629246306924
pLac,0.001,2,1.7309624582825849,2.6758292727029467
pLac,0.001,2,2.1801786140351966,2.559417185930975
pLac,0.001,2,2.283506952632269,2.087770823110774
pLac,0.001,2,1.8279736304547,3.0528397683118165
pLac,0.001,2,2.1217278958849377,1.95760810725348
pLac,0.001,2,1.7448866807888963,2.583496479787721
pLac,0.001,2,2.1801786140351966,2.152140333786772
pLac,0.001,2,1.7583867486912086,2.6946216633405875
pLac,0.001,2,1.670429727833249,2.4099462426449305
pLac,0.001,2,2.34065267716708,2.5202109912755204
pLac,0.001,2,3.1846956193338056,2.833930064002806
pLac,0.001,2,1.7448866807888963,2.396040752944139
pLac,0.001,2,2.125615797685432,2.2607328105183666
pLac,0.001,2,2.1767427986651486,2.5554444681003576
pLac,0.001,2,1.804640982123609,2.4924609374643234
pLac,0.001,2,2.0013240029617503,2.602790146607519
pLac,0.001,2,2.1500883977943643,1.9929213764518952
pLac,0.001,2,2.0334373955957075,2.175555926464182
pLac,0.001,2,1.711689075538768,2.63910199300768
pLac,0.001,2,2.377227477207942,2.588164333300233
pLac,0.001,2,1.5808878973134044,2.6315591484714638
pLac,0.001,2,1.4330784258544678,2.93238748138789
pLac,0.001,2,2.2018847726025945,1.88626447482288
pLac,0.001,2,2.384841224538329,2.4665704475155565
pLac,0.001,2,1.9935707213477791,2.281129325882957
pLac,0.001,2,1.125863144283096,3.465655750832522
pLac,0.001,2,1.468554791719212,2.4555429090474954
pLac,0.001,2,1.7448866807888963,2.743481186979109
pLac,0.001,2,1.3738949139910557,2.472584243207899
pLac,0.001,2,1.9321468443272367,2.5900182592288044
pLac,0.001,2,2.2807878154950685,2.62560554816848
pLac,0.001,2,2.3672421696045864,2.3577814316148773
pLac,0.001,2,2.1555490577905716,2.745463246402817
pLac,0.001,2,1.5465126946565917,2.4339611089466566
pLac,0.001,2,1.9410411487491712,2.405818664198844
pLac,0.001,2,2.06781259825252,2.4455130879996214
pLac,0.001,2,1.839194937742396,2.5672608990369814
pLac,0.001,2,1.5674560220357685,2.7252464944266594
pLac,0.001,2,2.5634709406602925,2.391785581400015
pLac,0.001,2,2.2333318565063256,2.5955355125931305
pLac,0.001,2,1.7402937074258396,2.542290317975356
pLac,0.001,2,1.5674560220357685,2.1325075618636937
pLac,0.001,2,2.4180721807770893,2.4555429090474954
pLac,0.001,2,1.9138041731126003,2.332546424564331
pLac,0.001,2,1.804640982123609,2.6195736823356164
pLac,0.001,2,1.985679391882028,2.4518073711039348
pLac,0.001,2,1.775770073290584,2.4689854322645512
pLac,0.001,2,2.0428679207978853,2.6099318634352224
pLac,0.001,2,1.812555798935393,2.738153451731609
pLac,0.001,2,1.6811101955624277,2.6938845611047997
pLac,0.001,2,2.2194560740040563,2.0161170897156087
pLac,0.001,2,1.87467130360714,2.6735215760879245
pLac,0.001,2,2.2669361268180994,2.2107000670049133
pLac,0.001,2,1.5393057397150949,2.7591029865940766
pLac,0.001,2,2.052101962360268,2.9380550105065684
pLac,0.001,2,1.3738949139910557,2.332546424564331
pLac,0.001,2,1.6915393346978531,3.0041204851663377
pLac,0.001,2,1.891398494906512,1.831683846521504
pLac,0.001,2,1.881438121508288,2.782190526098085
pLac,0.001,2,1.9351314883548318,2.8809131616589365
pLac,0.001,2,2.3859183039583267,1.9996692339909488
pLac,0.001,2,1.78421257546829,2.5825571835679906
pLac,0.001,2,2.1852829080291283,2.7648267120782792
pLac,0.001,2,1.7883742770612008,2.3193886472122194
pLac,0.001,2,1.6758021325597086,1.7170586913068349
pLac,0.001,2,1.5245304394234362,3.03178334080266
pLac,0.001,2,1.60030200651124,2.3126655079861105
pLac,0.001,2,1.4422172643312718,1.3027814144201408
pLac,0.001,2,1.6308808864875806,2.479698277851461
pLac,0.001,2,1.7883742770612008,2.668091382024325
pLac,0.001,2,1.9639219948360336,2.527689439242748
pLac,0.001,2,1.75393225930466,2.465358171927692
pLac,0.001,2,1.2533690064867242,2.2453079616707123
pLac,0.001,2,1.8317457209948085,2.2550090850341653
pLac,0.001,2,1.670429727833249,2.5104131946043102
